itemName,itemId,jobName,itemTypeDetail,SkillName,Value(min),(max),(value)
(구)버닝 라이더 숄더,b96a739a6246c931b1be9edca8a741e1,공통,가죽 머리어깨,투척 마스터리,1,,
버닝 라이더 숄더,920f9bfaabcc2f99e8ef7b68ac1fdf94,공통,가죽 머리어깨,투척 마스터리,1,,
진 : 카르텔의 로켓런쳐 가죽 숄더,5de039b49af2dcd4975654b9c521e1f6,공통,가죽 머리어깨,도약,1,,
(구)버닝 라이더 상의,3336e6083c2abc980bf84947d412ec14,공통,가죽 상의,투척 마스터리,1,,
노블레스 솔져 상의,3f5a50136d068b62c2ed75ea9d4ef1c9,거너(남),가죽 상의,C4,1,,
노블레스 솔져 상의,3f5a50136d068b62c2ed75ea9d4ef1c9,거너(여),가죽 상의,C4,1,,
뉴타입 웨스턴 재킷,ca2541c9ceff4e25f52892c6355ca4ac,거너(남),가죽 상의,헤드샷,1,,
뉴타입 웨스턴 재킷,ca2541c9ceff4e25f52892c6355ca4ac,거너(여),가죽 상의,헤드샷,1,,
대성공의 기원 상의,d87e5945feae3ea3d5b6b1706b00348e,마법사(여),가죽 상의,성난 불길 가열로,1,,
머즐 스모크 재킷,8b6a749e36d98dce87b41ff780f324fe,거너(남),가죽 상의,더블 건호크,1,,
머즐 스모크 재킷,8b6a749e36d98dce87b41ff780f324fe,거너(여),가죽 상의,더블 건호크,1,,
밀리언 데드샷 상의,2d967ca2dda311f7316222e5f6809f30,거너(남),가죽 상의,특성탄,1,,
밀리언 데드샷 상의,2d967ca2dda311f7316222e5f6809f30,거너(여),가죽 상의,특성탄,1,,
버닝 라이더 상의,95e489afb69122a7a2603b006c7db5cd,공통,가죽 상의,투척 마스터리,1,,
불타는 호박 마녀 상의,949b9cc403503dda9620b8f9eaa361b0,마법사(여),가죽 상의,개조 슈르르,1,,
브리밍 그레이스 튜닉,8b0fe68caf7c39583b1d7678d1c2b70a,마법사(여),가죽 상의,뇌연격,1,,
브리밍 그레이스 튜닉,8b0fe68caf7c39583b1d7678d1c2b70a,마법사(남),가죽 상의,블리자드 스톰,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,거너(남),가죽 상의,패스티스트 건,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,거너(남),가죽 상의,G-35L 섬광류탄,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,마법사(여),가죽 상의,체이서 : 명(明),1,,
